Predicted Close,Date
1.9709502,2015-02-04
2.011046,2015-02-05
1.9377228,2015-02-06
1.9244789,2015-02-07
1.8849106,2015-02-08
1.9709502,2015-02-09
2.0446436,2015-02-10
2.0716417,2015-02-11
2.064882,2015-02-12
2.0716417,2015-02-13
2.0446436,2015-02-14
2.0043466,2015-02-15
1.9709502,2015-02-16
1.8914882,2015-02-17
1.8717754,2015-02-18
1.8652182,2015-02-19
1.8717754,2015-02-20
1.8717754,2015-02-21
1.852124,2015-02-22
1.8652182,2015-02-23
1.8783396,2015-02-24
1.8783396,2015-02-25
1.8455873,2015-02-26
1.8586679,2015-02-27
1.826018,2015-02-28
1.8455873,2015-03-01
1.8390573,2015-03-02
1.8455873,2015-03-03
1.8065103,2015-03-04
1.8455873,2015-03-05
1.8455873,2015-03-06
1.8717754,2015-03-07
1.8455873,2015-03-08
1.8914882,2015-03-09
1.8717754,2015-03-10
1.8783396,2015-03-11
1.9046642,2015-03-12
1.8914882,2015-03-13
1.8717754,2015-03-14
1.8652182,2015-03-15
1.8717754,2015-03-16
1.852124,2015-03-17
1.8455873,2015-03-18
1.8652182,2015-03-19
1.8652182,2015-03-20
1.8325343,2015-03-21
1.8455873,2015-03-22
1.8652182,2015-03-23
1.8849106,2015-03-24
1.8586679,2015-03-25
1.8783396,2015-03-26
1.8455873,2015-03-27
1.8914882,2015-03-28
1.9842887,2015-03-29
2.0412762,2015-03-30
2.2427764,2015-03-31
2.1259573,2015-04-01
2.1055393,2015-04-02
2.180695,2015-04-03
2.1669712,2015-04-04
2.1396022,2015-04-05
2.1327763,2015-04-06
2.1259573,2015-04-07
2.1259573,2015-04-08
2.1191447,2015-04-09
2.1191447,2015-04-10
2.1123385,2015-04-11
2.1259573,2015-04-12
2.1396022,2015-04-13
2.0919604,2015-04-14
2.078408,2015-04-15
2.1875672,2015-04-16
2.2220242,2015-04-17
2.1944451,2015-04-18
2.1532733,2015-04-19
2.160119,2015-04-20
2.1738298,2015-04-21
2.1669712,2015-04-22
2.160119,2015-04-23
2.1669712,2015-04-24
2.2220242,2015-04-25
2.2774937,2015-04-26
2.2844565,2015-04-27
2.2774937,2015-04-28
2.3193676,2015-04-29
2.3685129,2015-04-30
2.4321578,2015-05-01
2.482013,2015-05-02
2.4108858,2015-05-03
2.3896706,2015-05-04
2.4038076,2015-05-05
2.4108858,2015-05-06
2.375559,2015-05-07
2.375559,2015-05-08
2.372035,2015-05-09
2.3896706,2015-05-10
2.4108858,2015-05-11
2.439261,2015-05-12
2.4179702,2015-05-13
2.3826115,2015-05-14
2.3614728,2015-05-15
2.3614728,2015-05-16
2.3544393,2015-05-17
2.5537663,2015-05-18
2.228935,2015-05-19
