,Date,Predicted Close
0,2018-03-27,181.07
1,2018-03-28,178.88
2,2018-03-29,179.5
3,2018-03-30,182.97
4,2018-03-31,182.4
5,2018-04-01,185.97
6,2018-04-02,184.73
7,2018-04-03,187.34
8,2018-04-04,186.92
9,2018-04-05,184.31
10,2018-04-06,186.4
11,2018-04-07,186.1
12,2018-04-08,187.21
13,2018-04-09,175.75
14,2018-04-10,171.62
15,2018-04-11,172.78
16,2018-04-12,168.53
17,2018-04-13,163.28
18,2018-04-14,163.92
19,2018-04-15,156.29
